precinct,LocationID,weight
114,7,0.21918529463980382
114,199,0.10114532637134996
114,179,0.08702028206776617
114,193,0.06993441596065988
114,146,0.05722957180974911
114,260,0.040709598917426815
114,202,0.035105990778296486
114,226,0.02558527227415516
114,207,0.024372309283696495
114,8,0.014906702578522685
114,138,0.0035983682581246018
114,168,0.0013254448038578577
115,129,0.41933653424120815
115,138,0.2706061622035738
115,70,0.17291211794526656
115,173,0.11629928901004748
115,57,0.006000528074002264
115,93,0.005990214178697556
115,83,0.0033849074329966
115,223,0.0026463769556030925
115,260,0.001481657480150766
115,207,0.0012199797766892788
115,53,0.00012223270176443224
116,203,0.3641463446321497
116,139,0.2746904632483671
116,219,0.24395242708812628
116,218,0.06171530745067752
116,205,0.052953084476804996
116,38,0.00254237310387449
120,206,0.24119083176384504
120,245,0.20291516161735654
120,221,0.19973088152805576
120,251,0.17467394984861326
120,115,0.16246093135411327
120,6,0.018566249542586028
120,187,0.00046199434543014545
121,23,0.4368019113960319
121,156,0.1870844661232201
121,118,0.1264732589052956
121,99,0.12560739616889602
121,187,0.0763603621260216
121,251,0.047672605280534824
122,118,0.27464426141331266
122,109,0.19229664355968004
122,214,0.14761043008981498
122,176,0.12320205472402807
122,172,0.12199990496129219
122,6,0.08063849846579225
122,110,0.05146239069932427
122,23,0.008145816086755544
123,44,0.31642426331721757
123,84,0.3056796480797732
123,204,0.14096022998407573
123,99,0.12260824450547445
123,5,0.10941854309909863
123,109,0.004909071014360475
